,experience,weeks,education,occupation_white,industry_yes,south_yes,smsa_yes,married_yes,gender_male,union_yes,ethnicity_other,wage_class
1,3,32,9,1,0,1,0,1,1,0,1,low
2,4,43,9,1,0,1,0,1,1,0,1,low
3,5,40,9,1,0,1,0,1,1,0,1,low
4,6,39,9,1,0,1,0,1,1,0,1,low
5,7,42,9,1,1,1,0,1,1,0,1,low
6,8,35,9,1,1,1,0,1,1,0,1,low
7,9,32,9,1,1,1,0,1,1,0,1,low
8,30,34,11,0,0,0,0,1,1,0,1,low
9,31,27,11,0,0,0,0,1,1,0,1,low
10,32,33,11,0,1,0,0,1,1,1,1,low
11,33,30,11,0,1,0,0,1,1,0,1,average
12,34,30,11,0,1,0,0,1,1,0,1,high
13,35,37,11,0,1,0,0,1,1,0,1,high
14,36,30,11,0,1,0,0,1,1,0,1,high
15,6,50,12,0,1,0,0,1,1,1,1,low
16,7,51,12,0,1,0,0,1,1,1,1,average
17,8,50,12,0,1,0,0,1,1,1,1,average
18,9,52,12,0,1,0,0,1,1,1,1,average
19,10,52,12,0,1,0,0,1,1,1,1,high
20,11,52,12,0,1,0,0,0,1,1,1,high
21,12,46,12,0,1,0,0,0,1,1,1,high
22,31,52,10,0,0,0,1,0,0,0,0,low
23,32,46,10,0,0,0,1,0,0,0,0,low
24,33,46,10,0,0,0,1,0,0,0,0,low
25,34,49,10,0,0,0,1,0,0,0,0,low
26,35,44,10,0,0,0,1,0,0,0,0,average
27,36,52,10,0,0,0,1,0,0,0,0,average
28,37,46,10,0,0,0,1,0,0,0,0,average
29,10,50,16,0,0,0,0,1,1,1,1,average
30,11,46,16,0,0,0,0,1,1,1,1,average
31,12,40,16,0,0,0,0,1,1,1,1,average
32,13,50,16,1,0,0,0,1,1,0,1,very high
33,14,47,16,0,0,0,1,1,1,0,1,very high
34,15,47,16,1,0,0,0,1,1,0,1,very high
35,16,49,16,1,0,0,0,1,1,0,1,very high
36,26,44,12,0,1,0,1,1,1,0,1,high
37,27,47,12,0,1,0,1,1,1,0,1,high
38,28,47,12,0,1,0,1,1,1,0,1,high
39,29,47,12,0,1,0,1,1,1,0,1,very high
40,30,44,12,0,1,0,1,1,1,0,1,very high
41,31,45,12,0,1,0,1,1,1,0,1,very high
42,32,47,12,0,1,0,1,1,1,0,1,very high
43,15,46,12,0,0,0,0,1,1,1,1,low
44,16,48,12,0,0,0,0,1,1,1,1,low
45,17,49,12,0,0,0,0,1,1,1,1,low
46,18,46,12,0,0,0,0,1,1,1,1,low
47,19,47,12,0,0,0,0,1,1,1,1,low
48,20,47,12,0,0,0,0,1,1,1,1,average
49,21,48,12,0,0,0,0,1,1,1,1,average
50,23,51,10,0,1,1,0,1,1,1,1,low
51,24,50,10,0,1,1,0,1,1,1,1,average
52,25,50,10,0,1,1,0,1,1,1,1,average
53,26,50,10,0,1,1,0,1,1,1,1,average
54,27,44,10,0,1,0,1,1,1,1,1,average
55,28,51,10,0,1,0,1,1,1,1,1,high
56,29,51,10,0,1,0,1,1,1,1,1,high
57,3,50,16,1,0,1,1,1,1,0,1,average
58,4,48,16,1,0,1,1,1,1,0,1,average
59,5,50,16,1,0,1,1,1,1,0,1,high
60,6,48,16,1,0,1,1,1,1,0,1,high
61,7,48,16,1,0,1,1,1,1,0,1,very high
62,8,44,16,1,0,1,1,1,1,0,1,very high
63,9,48,16,1,0,1,1,1,1,0,1,very high
64,3,49,16,1,0,1,1,1,1,0,1,average
65,4,47,16,1,0,1,1,1,1,0,1,average
66,5,46,16,1,0,1,1,1,1,0,1,average
67,6,44,16,1,0,1,1,1,1,0,1,average
68,7,43,16,1,0,1,1,1,1,0,1,average
69,8,34,16,1,0,1,1,1,1,0,1,average
70,9,40,16,1,0,1,1,1,1,0,1,high
71,24,47,12,0,0,0,1,0,1,1,1,average
72,25,48,12,0,0,0,1,0,1,1,1,high
73,26,45,12,0,0,0,1,0,1,1,1,high
74,27,45,12,0,0,0,1,1,1,1,1,high
75,28,47,12,0,0,0,1,1,1,1,1,very high
76,29,17,12,0,0,0,1,1,1,1,1,very high
77,30,47,12,0,0,0,1,1,1,1,1,very high
78,21,47,12,0,0,1,1,1,1,1,1,average
79,22,46,12,0,0,1,1,1,1,1,1,average
80,23,47,12,0,0,1,1,1,1,1,1,high
81,24,47,12,0,0,1,1,1,1,1,1,high
82,25,47,12,0,0,1,1,1,1,1,1,high
83,26,47,12,0,0,1,1,1,1,1,1,high
84,27,46,12,0,0,1,1,1,1,1,1,very high
85,26,48,12,0,0,1,1,1,1,0,1,high
86,27,48,12,0,0,1,1,1,1,0,1,high
87,28,50,12,0,0,1,1,1,1,0,1,very high
88,29,48,12,0,0,1,1,1,1,0,1,very high
89,30,48,12,0,0,1,1,1,1,0,1,very high
90,31,46,12,1,0,1,1,1,1,0,1,very high
91,32,46,12,0,0,1,1,1,1,0,1,very high
92,15,45,17,1,0,1,1,1,1,0,1,high
93,16,45,17,1,0,1,1,1,1,0,1,high
